DATE,DEPTH,PO4
1958-12-17,2600,1.21
1958-12-17,2000,1.21
1958-12-17,100,0.43
1959-01-20,1000,0.8
1959-01-20,500,0.73
1959-01-20,1500,0.76
1959-01-20,2600,0.83
1959-01-20,2000,0.74
1959-01-20,100,0.68
1959-02-11,500,0.58
1959-02-11,1500,0.59
1959-02-11,2600,0.69
1959-02-11,1000,0.56
1959-02-11,2000,0.84
1959-02-11,100,0.54
1959-03-09,1000,0.3
1959-03-09,2600,0.59
1959-03-09,100,0.12
1959-03-09,2000,0.47
1959-03-09,1500,0.33
1959-03-09,500,0.14
1959-03-24,2000,0.07
1959-03-24,1000,0.07
1959-03-24,500,0.06
1959-03-24,100,0.06
1959-03-24,1500,0.08
1959-03-24,2600,0.46
1959-05-12,500,0.03
1959-05-12,100,0.11
1959-05-12,1000,0.08
1959-05-12,2000,0.17
1959-05-12,2600,0.35
1959-05-12,1500,0.17
1959-06-09,1500,0.3
1959-06-09,2000,0.46
1959-06-09,1000,0.21
1959-06-09,100,0.06
1959-06-09,500,0.13
1959-06-09,2600,0.54
1959-07-06,1500,0.26
1959-07-06,2600,0.53
1959-07-06,2000,0.47
1959-07-06,100,0.25
1959-07-06,500,0.09
1959-07-06,1000,0.07
1959-07-23,100,0.15
1959-07-23,2000,0.47
1959-07-23,1000,0.16
1959-07-23,1500,0.15
1959-07-23,2600,1.17
1959-07-23,500,0.15
1959-08-28,1500,0.06
1959-08-28,1000,0.05
1959-08-28,100,0.1
1959-08-28,2600,1.44
1959-08-28,500,0.09
1959-08-28,2000,0.3
1959-10-09,100,0.55
1959-10-09,1000,0.42
1959-10-09,2600,
1959-10-09,2000,1.21
1959-10-09,500,0.6
1959-10-09,1500,0.79
1959-10-26,2600,
1959-10-26,1000,0.44
1959-10-26,1500,0.5
1959-10-26,2000,1.44
1959-10-26,100,0.43
1959-10-26,500,0.57
1959-12-19,2600,0.97
1959-12-19,100,0.87
1959-12-19,2000,0.97
1959-12-19,1500,1.03
1959-12-19,1000,0.79
1959-12-19,500,0.79
1960-01-06,2000,0.66
1960-01-06,500,0.73
1960-01-06,1000,0.79
1960-01-06,100,0.86
1960-01-06,1500,0.75
1960-01-06,2600,0.69
1960-01-26,500,0.77
1960-01-26,100,0.77
1960-01-26,1000,0.68
1960-01-26,2000,0.87
1960-01-26,2600,0.94
1960-01-26,1500,0.65
1960-02-11,1000,0.68
1960-02-11,100,0.62
1960-02-11,2000,0.61
1960-02-11,2600,0.65
1960-02-11,1500,0.48
1960-02-11,500,0.64
1960-03-02,2600,0.72
1960-03-02,1500,0.55
1960-03-02,2000,0.59
1960-03-02,100,0.73
1960-03-02,1000,0.42
1960-03-02,500,0.54
1960-03-31,500,0.03
1960-03-31,2600,0.27
1960-03-31,100,0.15
1960-03-31,2000,0.1
1960-03-31,1500,0.16
1960-03-31,1000,0.17
1960-04-27,1500,0.14
1960-04-27,100,0.12
1960-04-27,500,0.16
1960-04-27,2600,0.15
1960-04-27,2000,0.09
1960-04-27,1000,0.58
1960-05-30,500,0.27
1960-05-30,2000,0.39
1960-05-30,100,0.12
1960-05-30,1000,0.22
1960-05-30,2600,0.68
1960-05-30,1500,0.32
1960-06-21,1500,0.03
1960-06-21,2000,0.32
1960-06-21,100,0.09
1960-06-21,500,0.02
1960-06-21,1000,0.05
1960-06-21,2600,
1960-07-06,1000,0.22
1960-07-06,100,0.15
1960-07-06,2000,0.55
1960-07-06,1500,0.22
1960-07-06,500,0.28
1960-07-06,2600,0.71
1960-08-16,1000,0.17
1960-08-16,2000,0.71
1960-08-16,100,0.17
1960-08-16,1500,0.48
1960-08-16,2600,1.73
1960-08-16,500,0.26
1960-09-06,500,0.02
1960-09-06,1000,0.29
1960-09-06,2000,0.76
1960-09-06,1500,0.28
1960-09-06,100,0.07
1960-09-06,2600,1.95
1960-10-18,2000,0.17
1960-10-18,2600,2.12
1960-10-18,500,0.13
1960-10-18,100,0.16
1960-10-18,1000,0.18
1960-10-18,1500,0.17
1960-11-08,100,0.27
1960-11-08,1500,0.35
1960-11-08,1000,0.34
1960-11-08,2600,
1960-11-08,2000,0.36
1960-11-08,500,0.38
1960-12-15,500,0.67
1960-12-15,2000,0.98
1960-12-15,1000,0.39
1960-12-15,1500,0.91
1960-12-15,100,0.7
1960-12-15,2600,0.99
1961-01-27,1500,0.61
1961-01-27,1000,0.71
1961-01-27,100,0.72
1961-01-27,2000,0.69
1961-01-27,500,0.67
1961-01-27,2600,1.11
1961-02-15,100,0.16
1961-02-15,2000,0.71
1961-02-15,500,0.32
1961-02-15,1000,0.62
1961-02-15,2600,0.95
1961-02-15,1500,0.52
1961-03-13,2000,0.97
1961-03-13,1500,0.65
1961-03-13,1000,0.29
1961-03-13,500,
1961-03-13,100,
1961-03-13,2600,0.85
1961-04-12,500,0.11
1961-04-12,1500,0.34
1961-04-12,1000,0.09
1961-04-12,2600,0.23
1961-04-12,2000,0.31
1961-04-12,100,0.71
1961-05-25,2600,0.61
1961-05-25,500,0.03
1961-05-25,1500,0.18
1961-05-25,100,0.05
1961-05-25,2000,0.22
1961-05-25,1000,0.02
1961-06-12,1000,0.02
1961-06-12,100,0.05
1961-06-12,2600,0.51
1961-06-12,500,0.05
1961-06-12,2000,0.16
1961-06-12,1500,0.08
1961-07-12,500,0.1
1961-07-12,1500,0.36
1961-07-12,2600,0.85
1961-07-12,100,0.11
1961-07-12,1000,0.08
1961-07-12,2000,0.41
1961-08-02,2600,0.61
1961-08-02,2000,0.9
1961-08-02,1500,0.11
1961-08-02,1000,0.01
1961-08-02,500,
1961-08-02,100,
1961-09-07,500,0.17
1961-09-07,2000,0.52
1961-09-07,100,0.18
1961-09-07,2600,0.09
1961-09-07,1500,0.45
1961-09-07,1000,0.2
1961-10-11,100,0.39
1961-10-11,1500,0.7
1961-10-11,2000,0.25
1961-10-11,2600,
1961-10-11,1000,0.09
1961-10-11,500,0.24
1961-11-16,500,0.68
1961-11-16,1500,0.87
1961-11-16,2600,1.04
1961-11-16,1000,0.72
1961-11-16,2000,0.85
1961-11-16,100,0.68
1961-12-14,100,0.8
1961-12-14,500,1.07
1961-12-14,2000,0.9
1961-12-14,2600,0.59
1961-12-14,1000,0.87
1961-12-14,1500,0.85
1962-03-06,1000,0.78
1962-03-06,1500,0.74
1962-03-06,2600,0.78
1962-03-06,500,0.74
1962-03-06,100,0.67
1962-03-06,2000,0.79
1962-03-27,2600,0.06
1962-03-27,100,0.01
1962-03-27,2000,0.06
1962-03-27,500,0.01
1962-03-27,1500,0.05
1962-03-27,1000,0.04
1962-04-18,2600,0.32
1962-04-18,500,0.05
1962-04-18,1500,0.23
1962-04-18,1000,0.07
1962-04-18,100,0.08
1962-04-18,2000,0.33
1962-05-09,1000,0.14
1962-05-09,1500,0.07
1962-05-09,100,0.09
1962-05-09,500,0.02
1962-05-09,2600,0.32
1962-05-09,2000,0.2
1962-05-24,1000,0.08
1962-05-24,2600,0.15
1962-05-24,2000,0.14
1962-05-24,500,0.04
1962-05-24,1500,0.05
1962-05-24,100,0.06
1962-06-21,500,0.02
1962-06-21,1500,0.09
1962-06-21,100,0.0
1962-06-21,1000,0.03
1962-06-21,2000,0.14
1962-06-21,2600,0.36
1962-07-18,1500,0.15
1962-07-18,500,0.11
1962-07-18,2000,
1962-07-18,2600,0.27
1962-07-18,100,0.07
1962-07-18,1000,0.06
1962-08-15,100,0.05
1962-08-15,2600,0.45
1962-08-15,1000,0.07
1962-08-15,2000,0.23
1962-08-15,500,0.06
1962-08-15,1500,
1962-09-05,2600,0.47
1962-09-05,500,0.12
1962-09-05,1500,0.41
1962-09-05,100,0.0
1962-09-05,1000,0.14
1962-09-05,2000,0.65
1962-10-10,100,0.08
1962-10-10,1000,0.1
1962-10-10,500,0.06
1962-10-10,1500,0.1
1962-10-10,2000,0.26
1962-10-10,2600,1.25
1962-10-25,2600,1.4
1962-10-25,100,0.09
1962-10-25,500,0.17
1962-10-25,2000,0.56
1962-10-25,1000,0.15
1962-10-25,1500,0.3
1962-11-19,1500,0.67
1962-11-19,2600,0.74
1962-11-19,100,0.9
1962-11-19,1000,1.01
1962-11-19,500,1.8
1962-11-19,2000,0.65
1962-12-11,2000,1.01
1962-12-11,1500,0.4
1962-12-11,2600,0.46
1962-12-11,500,0.26
1962-12-11,1000,0.3
1962-12-11,100,0.52
1963-03-28,2000,0.32
1963-03-28,1500,0.39
1963-03-28,1000,0.28
1963-03-28,2600,0.32
1963-03-28,500,0.43
1963-03-28,100,0.07
1963-04-08,2600,0.5
1963-04-08,2000,0.05
1963-04-08,500,0.0
1963-04-08,100,0.02
1963-04-08,1500,0.0
1963-04-08,1000,0.0
1963-05-15,1500,0.13
1963-05-15,2600,1.09
1963-05-15,100,0.16
1963-05-15,1000,0.13
1963-05-15,500,0.14
1963-05-15,2000,0.95
1963-06-05,2000,0.69
1963-06-05,1500,0.05
1963-06-05,1000,0.06
1963-06-05,500,0.07
1963-06-05,2600,0.92
1963-06-05,100,0.01
1963-07-02,1500,0.31
1963-07-02,2600,0.52
1963-07-02,500,0.05
1963-07-02,1000,0.2
1963-07-02,2000,0.61
1963-07-02,100,0.08
1963-08-06,2600,1.09
1963-08-06,100,0.07
1963-08-06,1000,
1963-08-06,500,0.3
1963-08-06,1500,0.99
1963-08-06,2000,1.05
1963-09-03,2600,1.22
1963-09-03,2000,0.79
1963-09-03,500,0.13
1963-09-03,100,0.18
1963-09-03,1500,0.48
1963-09-03,1000,0.39
1963-10-03,2000,1.49
1963-10-03,1500,0.93
1963-10-03,1000,0.35
1963-10-03,100,0.17
1963-10-03,500,0.16
1963-10-03,2600,1.94
1963-11-04,500,0.52
1963-11-04,2000,2.21
1963-11-04,1000,0.54
1963-11-04,100,0.51
1963-11-04,1500,0.51
1963-11-04,2600,
1963-12-02,100,0.63
1963-12-02,2000,0.79
1963-12-02,2600,1.23
1963-12-02,1500,0.94
1963-12-02,500,0.64
1963-12-02,1000,0.69
1964-02-04,1500,
1964-02-04,2000,
1964-02-04,500,
1964-02-04,100,
1964-02-04,2600,
1964-02-04,1000,
1964-02-25,2000,0.63
1964-02-25,100,0.26
1964-02-25,1000,0.37
1964-02-25,2600,0.66
1964-02-25,500,0.26
1964-02-25,1500,0.54
1964-03-17,100,0.09
1964-03-17,2000,0.32
1964-03-17,1000,0.09
1964-03-17,1500,0.28
1964-03-17,2600,0.39
1964-03-17,500,0.13
1964-04-07,1000,0.23
1964-04-07,100,0.25
1964-04-07,1500,0.21
1964-04-07,2000,0.22
1964-04-07,2600,0.31
1964-04-07,500,0.25
1964-05-13,500,0.15
1964-05-13,1500,0.33
1964-05-13,2600,0.78
1964-05-13,100,0.11
1964-05-13,2000,0.62
1964-05-13,1000,0.17
1964-06-09,1500,0.12
1964-06-09,500,0.2
1964-06-09,100,0.21
1964-06-09,1000,0.17
1964-06-09,2000,0.72
1964-06-09,2600,0.94
1964-07-21,1000,0.13
1964-07-21,2600,1.72
1964-07-21,1500,0.13
1964-07-21,500,0.08
1964-07-21,100,0.08
1964-07-21,2000,0.55
1964-08-27,500,0.09
1964-08-27,1000,0.13
1964-08-27,2000,1.12
1964-08-27,1500,0.29
1964-08-27,100,0.06
1964-08-27,2600,2.35
1964-09-10,100,0.13
1964-09-10,1500,0.25
1964-09-10,1000,0.17
1964-09-10,2600,
1964-09-10,500,0.14
1964-09-10,2000,2.18
1964-10-20,500,0.32
1964-10-20,1000,0.36
1964-10-20,2000,0.92
1964-10-20,2600,
1964-10-20,100,0.26
1964-10-20,1500,0.37
1964-11-17,500,1.01
1964-11-17,2600,
1964-11-17,2000,1.49
1964-11-17,1000,1.0
1964-11-17,100,0.95
1964-11-17,1500,1.19
1964-12-15,500,0.85
1964-12-15,2600,0.99
1964-12-15,1000,0.88
1964-12-15,100,0.75
1964-12-15,2000,0.94
1964-12-15,1500,0.9
1965-01-19,1000,0.82
1965-01-19,2600,0.89
1965-01-19,1500,0.87
1965-01-19,500,0.82
1965-01-19,2000,0.88
1965-01-19,100,0.79
1965-02-17,1500,
1965-02-17,100,
1965-02-17,1000,
1965-02-17,500,
1965-02-17,2000,
1965-02-17,2600,
1965-03-16,2000,0.4
1965-03-16,500,0.19
1965-03-16,2600,0.58
1965-03-16,1000,0.24
1965-03-16,100,0.2
1965-03-16,1500,0.32
1965-04-24,1000,0.05
1965-04-24,2000,0.11
1965-04-24,500,0.05
1965-04-24,1500,0.09
1965-04-24,2600,0.41
1965-04-24,100,0.07
1965-05-11,500,0.03
1965-05-11,2000,0.06
1965-05-11,100,0.02
1965-05-11,1500,0.04
1965-05-11,1000,0.03
1965-05-11,2600,0.22
1965-06-15,100,0.03
1965-06-15,2600,0.58
1965-06-15,1500,0.06
1965-06-15,2000,0.41
1965-06-15,500,0.04
1965-06-15,1000,0.02
1965-07-21,2600,1.96
1965-07-21,100,0.11
1965-07-21,1000,0.08
1965-07-21,500,0.07
1965-07-21,1500,0.17
1965-07-21,2000,0.59
1965-08-24,1500,0.0
1965-08-24,100,0.0
1965-08-24,2600,1.65
1965-08-24,500,0.0
1965-08-24,1000,0.0
1965-08-24,2000,0.58
1965-09-07,1000,0.12
1965-09-07,2000,1.08
1965-09-07,2600,1.48
1965-09-07,100,0.15
1965-09-07,500,0.11
1965-09-07,1500,0.22
1965-10-05,1000,0.18
1965-10-05,100,0.27
1965-10-05,2600,
1965-10-05,2000,0.53
1965-10-05,1500,0.34
1965-10-05,500,0.21
1965-11-02,2000,1.97
1965-11-02,2600,1.9
1965-11-02,100,0.72
1965-11-02,1000,0.87
1965-11-02,500,0.7
1965-11-02,1500,1.52
1965-12-07,1000,0.77
1965-12-07,1500,0.77
1965-12-07,2600,0.07
1965-12-07,2000,0.39
1965-12-07,500,0.81
1965-12-07,100,0.81
1966-01-18,100,0.87
1966-01-18,1500,0.85
1966-01-18,500,0.85
1966-01-18,2600,0.86
1966-01-18,2000,0.85
1966-01-18,1000,0.85
1966-02-14,2600,0.99
1966-02-14,1500,0.97
1966-02-14,1000,0.94
1966-02-14,2000,0.97
1966-02-14,500,0.92
1966-02-14,100,0.93
1966-03-14,1500,0.51
1966-03-14,500,0.54
1966-03-14,1000,0.45
1966-03-14,2000,0.55
1966-03-14,2600,0.65
1966-03-14,100,0.36
1966-04-05,2000,0.15
1966-04-05,1500,0.23
1966-04-05,100,0.01
1966-04-05,2600,0.15
1966-04-05,1000,0.04
1966-04-05,500,0.05
1966-05-10,1500,0.05
1966-05-10,2000,0.15
1966-05-10,2600,0.15
1966-05-10,1000,0.02
1966-05-10,500,0.02
1966-05-10,100,0.03
1966-06-23,500,0.03
1966-06-23,100,0.08
1966-06-23,1500,0.14
1966-06-23,2600,0.78
1966-06-23,2000,0.46
1966-06-23,1000,0.06
1966-07-12,2000,0.71
1966-07-12,2600,0.65
1966-07-12,1500,0.57
1966-07-12,1000,0.27
1966-07-12,500,0.15
1966-07-12,100,0.05
1966-08-02,100,0.15
1966-08-02,500,0.07
1966-08-02,1000,0.34
1966-08-02,2600,0.68
1966-08-02,2000,0.63
1966-08-02,1500,0.56
1966-09-05,500,0.09
1966-09-05,1000,0.08
1966-09-05,1500,0.15
1966-09-05,2000,0.96
1966-09-05,2600,1.22
1966-09-05,100,0.08
1966-10-03,2600,
1966-10-03,1000,0.43
1966-10-03,1500,0.6
1966-10-03,500,0.34
1966-10-03,2000,0.96
1966-10-03,100,0.21
1966-10-31,2600,
1966-10-31,2000,0.9
1966-10-31,100,0.16
1966-10-31,1000,0.26
1966-10-31,500,0.16
1966-10-31,1500,0.26
1966-12-06,1000,0.52
1966-12-06,2600,0.55
1966-12-06,100,0.39
1966-12-06,1500,0.27
1966-12-06,500,0.5
1966-12-06,2000,0.45
1967-01-10,1500,
1967-01-10,1000,
1967-01-10,500,
1967-01-10,2600,
1967-01-10,100,
1967-01-10,2000,
1967-02-07,2600,
1967-02-07,500,
1967-02-07,1000,
1967-02-07,1500,
1967-02-07,100,
1967-02-07,2000,
1967-03-06,2000,
1967-03-06,2600,
1967-03-06,500,
1967-03-06,100,
1967-03-06,1000,
1967-03-06,1500,
1967-04-05,100,
1967-04-05,2600,
1967-04-05,500,
1967-04-05,1000,
1967-04-05,2000,
1967-04-05,1500,
1967-05-08,1000,
1967-05-08,100,
1967-05-08,1500,
1967-05-08,2600,
1967-05-08,500,
1967-05-08,2000,
1967-06-05,500,
1967-06-05,2600,
1967-06-05,2000,
1967-06-05,1000,
1967-06-05,100,
1967-06-05,1500,
1967-07-03,2000,
1967-07-03,1000,
1967-07-03,500,
1967-07-03,1500,
1967-07-03,100,
1967-07-03,2600,
1967-08-01,100,
1967-08-01,2000,
1967-08-01,2600,
1967-08-01,1500,
1967-08-01,500,
1967-08-01,1000,
1967-09-18,100,
1967-09-18,2000,
1967-09-18,500,
1967-09-18,2600,
1967-09-18,1000,
1967-09-18,1500,
1967-10-10,2600,
1967-10-10,500,
1967-10-10,1500,
1967-10-10,100,
1967-10-10,1000,
1967-10-10,2000,
1967-11-06,2600,
1967-11-06,100,
1967-11-06,2000,
1967-11-06,500,
1967-11-06,1500,
1967-11-06,1000,
1967-12-04,2600,
1967-12-04,1500,
1967-12-04,1000,
1967-12-04,100,
1967-12-04,500,
1967-12-04,2000,
1968-01-08,1000,
1968-01-08,1500,
1968-01-08,500,
1968-01-08,100,
1968-01-08,2000,
1968-01-08,2600,
1968-01-29,500,
1968-01-29,1000,
1968-01-29,2600,
1968-01-29,100,
1968-01-29,1500,
1968-01-29,2000,
1968-02-20,2000,
1968-02-20,100,
1968-02-20,500,
1968-02-20,1000,
1968-02-20,1500,
1968-02-20,2600,
1968-03-18,1500,
1968-03-18,2000,
1968-03-18,100,
1968-03-18,1000,
1968-03-18,500,
1968-03-18,2600,
1968-04-02,2600,
1968-04-02,100,
1968-04-02,500,
1968-04-02,2000,
1968-04-02,1000,
1968-04-02,1500,
1968-05-06,2600,
1968-05-06,500,
1968-05-06,1500,
1968-05-06,1000,
1968-05-06,2000,
1968-05-06,100,
1968-06-12,100,
1968-06-12,1500,
1968-06-12,500,
1968-06-12,2000,
1968-06-12,2600,
1968-06-12,1000,
1968-07-03,1500,
1968-07-03,2000,
1968-07-03,2600,
1968-07-03,1000,
1968-07-03,100,
1968-07-03,500,
1968-08-19,100,
1968-08-19,1500,
1968-08-19,500,
1968-08-19,1000,
1968-08-19,2600,
1968-08-19,2000,
1968-09-16,500,
1968-09-16,1500,
1968-09-16,2600,
1968-09-16,100,
1968-09-16,2000,
1968-09-16,1000,
1968-10-21,2600,
1968-10-21,1500,
1968-10-21,1000,
1968-10-21,100,
1968-10-21,500,
1968-10-21,2000,
1968-11-18,2600,
1968-11-18,1000,
1968-11-18,100,
1968-11-18,1500,
1968-11-18,500,
1968-11-18,2000,
1968-12-19,500,
1968-12-19,100,
1968-12-19,1500,
1968-12-19,2000,
1968-12-19,1000,
1968-12-19,2600,
1969-01-14,1000,
1969-01-14,1500,
1969-01-14,500,
1969-01-14,100,
1969-01-14,2600,
1969-01-14,2000,
1969-02-25,1000,
1969-02-25,1500,
1969-02-25,2000,
1969-02-25,100,
1969-02-25,2600,
1969-02-25,500,
1969-03-24,100,
1969-03-24,1500,
1969-03-24,2000,
1969-03-24,500,
1969-03-24,1000,
1969-03-24,2600,
1969-04-22,100,
1969-04-22,1500,
1969-04-22,2000,
1969-04-22,500,
1969-04-22,2600,
1969-04-22,1000,
1969-05-13,500,
1969-05-13,100,
1969-05-13,1500,
1969-05-13,2600,
1969-05-13,1000,
1969-05-13,2000,
1969-06-18,1000,
1969-06-18,500,
1969-06-18,2000,
1969-06-18,2600,
1969-06-18,100,
1969-06-18,1500,
1969-07-23,2600,
1969-07-23,2000,
1969-07-23,100,
1969-07-23,500,
1969-07-23,1000,
1969-07-23,1500,
1969-08-15,1000,
1969-08-15,2000,
1969-08-15,500,
1969-08-15,2600,
1969-08-15,100,
1969-08-15,1500,
1969-09-09,2000,
1969-09-09,2600,
1969-09-09,1000,
1969-09-09,500,
1969-09-09,100,
1969-09-09,1500,
1969-10-06,2000,
1969-10-06,1000,
1969-10-06,1500,
1969-10-06,2600,
1969-10-06,500,
1969-10-06,100,
1969-11-05,2600,
1969-11-05,500,
1969-11-05,1500,
1969-11-05,2000,
1969-11-05,100,
1969-11-05,1000,
1969-12-02,100,
1969-12-02,500,
1969-12-02,1000,
1969-12-02,2600,
1969-12-02,1500,
1969-12-02,2000,
1970-01-07,100,
1970-01-07,500,
1970-01-07,2000,
1970-01-07,1000,
1970-01-07,2600,
1970-01-07,1500,
1970-02-04,500,
1970-02-04,100,
1970-02-04,1500,
1970-02-04,2600,
1970-02-04,1000,
1970-02-04,2000,
1970-03-16,100,
1970-03-16,2000,
1970-03-16,500,
1970-03-16,2600,
1970-03-16,1500,
1970-03-16,1000,
1970-04-06,1000,
1970-04-06,2000,
1970-04-06,1500,
1970-04-06,100,
1970-04-06,2600,
1970-04-06,500,
1970-05-19,100,
1970-05-19,1500,
1970-05-19,2000,
1970-05-19,2600,
1970-05-19,1000,
1970-05-19,500,
1970-06-09,2600,
1970-06-09,500,
1970-06-09,2000,
1970-06-09,100,
1970-06-09,1000,
1970-06-09,1500,
1970-07-14,2600,
1970-07-14,100,
1970-07-14,1000,
1970-07-14,500,
1970-07-14,2000,
1970-07-14,1500,
1970-08-20,500,
1970-08-20,2000,
1970-08-20,1000,
1970-08-20,2600,
1970-08-20,1500,
1970-08-20,100,
1970-09-29,500,
1970-09-29,1500,
1970-09-29,100,
1970-09-29,1000,
1970-09-29,2000,
1970-09-29,2600,
1970-10-15,100,
1970-10-15,500,
1970-10-15,2000,
1970-10-15,2600,
1970-10-15,1500,
1970-10-15,1000,
1970-11-02,2000,
1970-11-02,100,
1970-11-02,500,
1970-11-02,1500,
1970-11-02,2600,
1970-11-02,1000,
1970-12-01,500,
1970-12-01,2600,
1970-12-01,1000,
1970-12-01,100,
1970-12-01,2000,
1970-12-01,1500,
1971-01-19,500,
1971-01-19,1500,
1971-01-19,2600,
1971-01-19,100,
1971-01-19,2000,
1971-01-19,1000,
1971-02-10,1000,
1971-02-10,1500,
1971-02-10,2000,
1971-02-10,100,
1971-02-10,2600,
1971-02-10,500,
1971-03-11,2600,
1971-03-11,1500,
1971-03-11,2000,
1971-03-11,100,
1971-03-11,500,
1971-03-11,1000,
1971-04-07,1500,
1971-04-07,2000,
1971-04-07,1000,
1971-04-07,2600,
1971-04-07,500,
1971-04-07,100,
1971-05-10,500,
1971-05-10,1500,
1971-05-10,100,
1971-05-10,2000,
1971-05-10,1000,
1971-05-10,2600,
1971-06-08,500,
1971-06-08,1500,
1971-06-08,1000,
1971-06-08,100,
1971-06-08,2000,
1971-06-08,2600,
1971-07-13,2000,
1971-07-13,100,
1971-07-13,1500,
1971-07-13,2600,
1971-07-13,500,
1971-07-13,1000,
1971-09-01,1000,
1971-09-01,100,
1971-09-01,500,
1971-09-01,1500,
1971-09-01,2600,
1971-09-01,2000,
1971-10-05,2000,
1971-10-05,500,
1971-10-05,2600,
1971-10-05,1500,
1971-10-05,100,
1971-10-05,1000,
1971-11-04,1000,
1971-11-04,1500,
1971-11-04,2000,
1971-11-04,500,
1971-11-04,2600,
1971-11-04,100,
1971-12-06,2000,
1971-12-06,1500,
1971-12-06,100,
1971-12-06,2600,
1971-12-06,500,
1971-12-06,1000,
1972-01-11,2000,
1972-01-11,1500,
1972-01-11,1000,
1972-01-11,100,
1972-01-11,500,
1972-01-11,2600,
1972-02-08,2000,
1972-02-08,2000,
1972-02-08,1000,
1972-02-08,100,
1972-02-08,500,
1972-02-08,2600,
1972-02-08,2500,
1972-02-08,1500,
1972-02-08,2200,
1972-03-08,1800,
1972-03-08,2300,
1972-03-08,100,
1972-03-08,2500,
1972-03-08,1500,
1972-03-08,2000,
